name,city,region
Robert Henley,birmingham,alabama
W. J. McDonald,birmingham,alabama
Thomas Tate,birmingham,alabama
Robert Henley,birmingham,alabama
James Robert Powell,birmingham,alabama
William Harrington Morris,birmingham,alabama
Henry M. Caldwell,birmingham,alabama
Thomas Jeffers,birmingham,alabama
A. O. Lane,birmingham,alabama
B. A. Thompson,birmingham,alabama
A. O. Lane,birmingham,alabama
David J. Fox,birmingham,alabama
James A. Van Hoose,birmingham,alabama
Frank V. Evans,birmingham,alabama
Mel Drennen,birmingham,alabama
George B. Ward,birmingham,alabama
Frank P. O&apos;Brien,birmingham,alabama
Culpepper Exum,birmingham,alabama
President of the Commission,birmingham,alabama
Albert Boutwell,birmingham,alabama
"George G. Siebels, Jr.",birmingham,alabama
David Vann,birmingham,alabama
Richard Arrington Jr.,birmingham,alabama
William A. Bell,birmingham,alabama
Bernard Kincaid,birmingham,alabama
Larry Langford,birmingham,alabama
Carole Smitherman,birmingham,alabama
Roderick Royal,birmingham,alabama
William A. Bell,birmingham,alabama
Randall Woodfin,birmingham,alabama
Culpepper Exum,birmingham,alabama
George B. Ward,birmingham,alabama
Nathaniel A. Barrett,birmingham,alabama
David E. McClendon,birmingham,alabama
"James M. Jones, Jr.",birmingham,alabama
Cooper Green,birmingham,alabama
James W. Morgan,birmingham,alabama
Art Hanes,birmingham,alabama
Nicholas Pope,huntsville,alabama
John Brahan,huntsville,alabama
Benjamin Pope,huntsville,alabama
John Read,huntsville,alabama
John W. Tilfordy,huntsville,alabama
John Boardman,huntsville,alabama
William B. Long,huntsville,alabama
John Boardman,huntsville,alabama
Thomas Humes,huntsville,alabama
John H. Lewis,huntsville,alabama
William H. Campbell,huntsville,alabama
John H. Lewis,huntsville,alabama
James G. Birney,huntsville,alabama
John Martin,huntsville,alabama
Samuel Cruse,huntsville,alabama
George Fearn,huntsville,alabama
Samuel Peete,huntsville,alabama
Samuel Peete,huntsville,alabama
Unknown,huntsville,alabama
Elisha H. Rice,huntsville,alabama
George P. Beirne,huntsville,alabama
